"Date","Price","Open","High","Low","Change %"
"Mar 09","1.2341","1.2805","1.2951","1.2043","-3.53%"
"Feb 09","1.2793","1.2530","1.2821","1.2402","2.28%"
"Jan 09","1.2508","1.2038","1.2815","1.1747","3.20%"
"Dec 08","1.2120","1.1968","1.2290","1.1652","1.83%"
"Nov 08","1.1902","1.1447","1.1957","1.1267","3.79%"
"Oct 08","1.1467","1.1841","1.1919","1.0638","-3.16%"
"Sep 08","1.1841","1.2240","1.2365","1.1778","-3.21%"
"Aug 08","1.2234","1.2842","1.2917","1.2160","-4.70%"
"Jul 08","1.2838","1.2580","1.2973","1.2516","2.08%"
"Jun 08","1.2576","1.2197","1.2697","1.2108","3.01%"
"May 08","1.2208","1.2066","1.2425","1.1914","1.20%"
"Apr 08","1.2063","1.1636","1.2087","1.1505","3.80%"
"Mar 08","1.1621","1.1659","1.1752","1.1336","-0.32%"
"Feb 08","1.1658","1.1364","1.1694","1.1273","2.55%"
"Jan 08","1.1368","1.1422","1.1600","1.1321","-0.49%"
"Dec 07","1.1424","1.1567","1.1596","1.1141","-1.30%"
"Nov 07","1.1575","1.2067","1.2099","1.1390","-4.20%"
"Oct 07","1.2082","1.1668","1.2101","1.1588","3.03%"
"Sep 07","1.1727","1.1640","1.2041","1.1586","0.86%"
"Aug 07","1.1627","1.1165","1.1768","1.1133","3.95%"
"Jul 07","1.1185","1.0999","1.1218","1.0891","1.71%"
"Jun 07","1.0997","1.1226","1.1270","1.0961","-2.20%"
"May 07","1.1244","1.1193","1.1390","1.1114","0.32%"
"Apr 07","1.1208","1.1316","1.1390","1.1094","-0.89%"
"Mar 07","1.1309","1.1213","1.1485","1.1186","0.79%"
"Feb 07","1.1220","1.1243","1.1467","1.1130","-0.42%"
"Jan 07","1.1267","1.1179","1.1403","1.1045","0.54%"
"Dec 06","1.1207","1.1527","1.1587","1.1135","-2.78%"
"Nov 06","1.1527","1.1531","1.1665","1.1429","-0.27%"
"Oct 06","1.1558","1.1426","1.1674","1.1196","1.15%"
"Sep 06","1.1427","1.1630","1.1963","1.1201","-1.87%"
"Aug 06","1.1645","1.2389","1.2458","1.1596","-6.10%"
"Jul 06","1.2402","1.2197","1.2444","1.1879","1.46%"
"Jun 06","1.2224","1.1844","1.2296","1.1701","3.06%"
"May 06","1.1861","1.1884","1.2440","1.1768","-0.29%"
"Apr 06","1.1896","1.1634","1.2024","1.1584","2.23%"
"Mar 06","1.1637","1.1213","1.1745","1.1146","3.74%"
"Feb 06","1.1217","1.1011","1.1250","1.0822","1.51%"
"Jan 06","1.1050","1.0739","1.1124","1.0696","2.92%"
"Dec 05","1.0736","1.0483","1.0910","1.0421","2.21%"
"Nov 05","1.0504","1.0678","1.0822","1.0455","-1.70%"
"Oct 05","1.0686","1.0995","1.1052","1.0618","-2.66%"
"Sep 05","1.0978","1.0836","1.1161","1.0778","1.23%"
"Aug 05","1.0845","1.1120","1.1233","1.0758","-2.44%"
"Jul 05","1.1116","1.0938","1.1252","1.0896","1.61%"
"Jun 05","1.0940","1.0716","1.0981","1.0646","2.00%"
"May 05","1.0726","1.0679","1.0761","1.0547","0.49%"
"Apr 05","1.0674","1.0848","1.0930","1.0623","-1.70%"
"Mar 05","1.0859","1.0886","1.0925","1.0608","-0.35%"
