"Date","Price","Open","High","Low","Change %"
"Dec 98","0.6125","0.6284","0.6390","0.6053","-2.55%"
"Nov 98","0.6285","0.6236","0.6481","0.6212","0.77%"
"Oct 98","0.6237","0.5933","0.6418","0.5810","5.11%"
"Sep 98","0.5934","0.5663","0.6040","0.5650","4.44%"
"Aug 98","0.5682","0.6055","0.6113","0.5485","-6.24%"
"Jul 98","0.6060","0.6199","0.6335","0.6030","-2.38%"
"Jun 98","0.6208","0.6234","0.6282","0.5797","-0.35%"
"May 98","0.6230","0.6492","0.6551","0.6160","-4.04%"
"Apr 98","0.6492","0.6622","0.6630","0.6423","-1.98%"
"Mar 98","0.6623","0.6792","0.6850","0.6585","-2.42%"
"Feb 98","0.6787","0.6821","0.6879","0.6596","-0.88%"
"Jan 98","0.6847","0.6508","0.6878","0.6315","5.18%"
"Dec 97","0.6510","0.6819","0.6830","0.6452","-4.41%"
"Nov 97","0.6810","0.7007","0.7176","0.6746","-2.85%"
"Oct 97","0.7010","0.7248","0.7414","0.6815","-3.40%"
"Sep 97","0.7257","0.7315","0.7343","0.7143","-0.90%"
"Aug 97","0.7323","0.7468","0.7510","0.7290","-2.14%"
"Jul 97","0.7483","0.7541","0.7557","0.7310","-0.76%"
"Jun 97","0.7540","0.7600","0.7644","0.7430","-0.82%"
"May 97","0.7602","0.7808","0.7893","0.7590","-2.63%"
"Apr 97","0.7807","0.7856","0.7897","0.7685","-0.66%"
"Mar 97","0.7859","0.7788","0.8008","0.7784","0.98%"
"Feb 97","0.7783","0.7622","0.7818","0.7549","2.10%"
"Jan 97","0.7623","0.7944","0.7948","0.7590","-4.10%"
"Dec 96","0.7949","0.8180","0.8218","0.7845","-2.62%"
"Nov 96","0.8163","0.7912","0.8172","0.7813","3.13%"
"Oct 96","0.7915","0.7910","0.7989","0.7850","0.01%"
"Sep 96","0.7914","0.7904","0.8024","0.7851","0.24%"
"Aug 96","0.7895","0.7732","0.7947","0.7680","2.16%"
"Jul 96","0.7728","0.7872","0.8000","0.7710","-1.93%"
"Jun 96","0.7880","0.7994","0.8032","0.7846","-1.34%"
"May 96","0.7987","0.7866","0.8053","0.7863","1.44%"
"Apr 96","0.7874","0.7838","0.7934","0.7789","0.65%"
"Mar 96","0.7823","0.7640","0.7855","0.7569","2.37%"
"Feb 96","0.7642","0.7463","0.7657","0.7435","2.36%"
"Jan 96","0.7466","0.7428","0.7498","0.7303","0.51%"
"Dec 95","0.7428","0.7435","0.7502","0.7348","-0.13%"
"Nov 95","0.7438","0.7595","0.7624","0.7334","-2.23%"
"Oct 95","0.7608","0.7553","0.7708","0.7447","0.73%"
"Sep 95","0.7553","0.7503","0.7673","0.7435","0.53%"
"Aug 95","0.7513","0.7381","0.7595","0.7293","1.72%"
"Jul 95","0.7386","0.7104","0.7411","0.7070","4.10%"
"Jun 95","0.7095","0.7179","0.7290","0.7072","-1.17%"
"May 95","0.7179","0.7274","0.7442","0.7119","-1.36%"
"Apr 95","0.7278","0.7338","0.7464","0.7228","-0.84%"
"Mar 95","0.7340","0.7388","0.7477","0.7212","-0.66%"
"Feb 95","0.7389","0.7564","0.7607","0.7350","-2.34%"
"Jan 95","0.7566","0.7750","0.7768","0.7550","-2.40%"
"Dec 94","0.7752","0.7688","0.7802","0.7656","0.83%"
"Nov 94","0.7688","0.7423","0.7693","0.7392","3.49%"
"Oct 94","0.7429","0.7395","0.7442","0.7298","0.41%"
"Sep 94","0.7399","0.7426","0.7472","0.7323","-0.40%"
"Aug 94","0.7429","0.7376","0.7472","0.7275","0.41%"
"Jul 94","0.7399","0.7270","0.7450","0.7220","1.72%"
"Jun 94","0.7274","0.7370","0.7470","0.7180","-1.34%"
"May 94","0.7373","0.7174","0.7389","0.7027","3.09%"
"Apr 94","0.7152","0.7040","0.7283","0.7000","1.58%"
"Mar 94","0.7041","0.7130","0.7221","0.6983","-1.26%"
"Feb 94","0.7131","0.7081","0.7303","0.7060","0.62%"
"Jan 94","0.7087","0.6778","0.7132","0.6770","4.37%"
"Dec 93","0.6790","0.6589","0.6824","0.6565","3.02%"
"Nov 93","0.6591","0.6660","0.6770","0.6495","-1.08%"
"Oct 93","0.6663","0.6462","0.6719","0.6436","3.11%"
"Sep 93","0.6462","0.6693","0.6733","0.6410","-4.02%"
"Aug 93","0.6733","0.6893","0.6935","0.6642","-2.28%"
"Jul 93","0.6890","0.6655","0.6910","0.6632","3.48%"
"Jun 93","0.6658","0.6750","0.6881","0.6610","-1.52%"
"May 93","0.6761","0.7068","0.7098","0.6745","-4.33%"
"Apr 93","0.7067","0.7050","0.7258","0.6915","0.28%"
"Mar 93","0.7047","0.6950","0.7188","0.6943","1.31%"
"Feb 93","0.6956","0.6792","0.6989","0.6675","2.32%"
"Jan 93","0.6798","0.6871","0.6885","0.6630","-1.42%"
"Dec 92","0.6896","0.6818","0.6987","0.6775","1.04%"
"Nov 92","0.6825","0.6943","0.7017","0.6809","-1.83%"
"Oct 92","0.6952","0.7130","0.7243","0.6905","-2.66%"
"Sep 92","0.7142","0.7143","0.7403","0.7110","-0.07%"
"Aug 92","0.7147","0.7435","0.7490","0.7030","-3.94%"
"Jul 92","0.7440","0.7480","0.7547","0.7403","-0.57%"
"Jun 92","0.7483","0.7565","0.7660","0.7455","-1.12%"
"May 92","0.7568","0.7571","0.7603","0.7477","0.08%"
"Apr 92","0.7562","0.7560","0.7697","0.7533","-1.72%"
"Mar 92","0.7694","0.7692","0.7710","0.7492","2.25%"
"Feb 92","0.7525","0.7522","0.7589","0.7428","0.24%"
"Jan 92","0.7507","0.7503","0.7650","0.7340","-1.03%"
"Dec 91","0.7585","0.7580","0.7872","0.7580","-3.29%"
"Nov 91","0.7843","0.7840","0.7935","0.7778","0.58%"
"Oct 91","0.7798","0.7796","0.8040","0.7768","-2.38%"
"Sep 91","0.7988","0.7985","0.8030","0.7757","1.72%"
"Aug 91","0.7853","0.7850","0.7884","0.7715","1.00%"
"Jul 91","0.7775","0.7773","0.7816","0.7615","1.40%"
"Jun 91","0.7668","0.7665","0.7692","0.7485","0.78%"
"May 91","0.7609","0.7605","0.7860","0.7525","-2.80%"
"Apr 91","0.7828","0.7824","0.7893","0.7689","1.27%"
"Mar 91","0.7730","0.7725","0.7882","0.7631","-1.69%"
"Feb 91","0.7863","0.7859","0.7913","0.7753","0.49%"
"Jan 91","0.7825","0.7820","0.7917","0.7689","1.32%"
"Dec 90","0.7723","0.7718","0.7810","0.7558","-0.23%"
"Nov 90","0.7741","0.7737","0.7936","0.7600","-1.20%"
"Oct 90","0.7835","0.7830","0.8391","0.7665","-5.10%"
"Sep 90","0.8256","0.8252","0.8366","0.8055","1.41%"
"Aug 90","0.8141","0.8137","0.8479","0.7790","2.45%"
"Jul 90","0.7946","0.7942","0.8115","0.7765","0.16%"
"Jun 90","0.7933","0.7930","0.7937","0.7660","3.33%"
"May 90","0.7677","0.7674","0.7735","0.7433","2.16%"
"Apr 90","0.7515","0.7513","0.7792","0.7475","-0.50%"
"Mar 90","0.7553","0.7548","0.7672","0.7421","-0.63%"
"Feb 90","0.7601","0.7598","0.7748","0.7390","-1.44%"
"Jan 90","0.7712","0.7709","0.7968","0.7558","-2.19%"
