Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig
Reefton Ews,Sep-13,9,138.8,-,-,D
Reefton Ews,Oct-13,0,265.2,-,-,D
Reefton Ews,Oct-13,2,11.8,-,-,D
Reefton Ews,Oct-13,9,110.6,-,-,D
Reefton Ews,Nov-13,0,67.6,-,-,D
Reefton Ews,Nov-13,2,15.8,-,-,D
Reefton Ews,Nov-13,9,184.6,-,-,D
Reefton Ews,Dec-13,0,127.2,-,-,D
Reefton Ews,Dec-13,2,16.7,-,-,D
Reefton Ews,Dec-13,9,173.3,-,-,D
Reefton Ews,Jan-14,0,134,-,-,D
Reefton Ews,Jan-14,2,15.6,-,-,D
Reefton Ews,Jan-14,9,174.1,-,-,D
Reefton Ews,Feb-14,0,29.2,-,-,D
Reefton Ews,Feb-14,2,18,-,-,D
Reefton Ews,Feb-14,9,196.5,-,-,D
Reefton Ews,Mar-14,0,49.8,-,-,D
Reefton Ews,Mar-14,2,15.7,*,-,D
Reefton Ews,Mar-14,9,193.8,-,-,D
Reefton Ews,Apr-14,0,204,-,-,D
Reefton Ews,Apr-14,2,14.4,-,-,D
Reefton Ews,Apr-14,9,86.1,-,-,D
Reefton Ews,May-14,0,111.6,*,-,R
Reefton Ews,May-14,2,10.1,-,-,D
Reefton Ews,May-14,9,86.5,-,-,D
Reefton Ews,Jun-14,0,199.2,-,-,R
Reefton Ews,Jun-14,2,8.5,-,-,D
Reefton Ews,Jun-14,9,52.8,-,-,D
Reefton Ews,Jul-14,0,91.4,-,-,D
Reefton Ews,Jul-14,2,5.7,-,-,D
Reefton Ews,Jul-14,9,97,-,-,D
Reefton Ews,Aug-14,0,135,-,-,D
Reefton Ews,Aug-14,2,7.7,-,-,D
Reefton Ews,Aug-14,9,143.6,-,-,D
Reefton Ews,Sep-14,0,116.4,-,-,D
Reefton Ews,Sep-14,2,10.5,-,-,D
Reefton Ews,Sep-14,9,152.5,-,-,D
