Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,May-04,9,153,-
Paraparaumu Aero,Jun-04,0,149.8,-
Paraparaumu Aero,Jun-04,2,10.8,-
Paraparaumu Aero,Jun-04,9,91.4,-
Paraparaumu Aero,Jul-04,0,86.9,-
Paraparaumu Aero,Jul-04,2,8.3,-
Paraparaumu Aero,Jul-04,9,149.3,-
Paraparaumu Aero,Aug-04,0,119.7,-
Paraparaumu Aero,Aug-04,2,8.5,-
Paraparaumu Aero,Aug-04,9,162.5,-
Paraparaumu Aero,Sep-04,0,161.6,-
Paraparaumu Aero,Sep-04,2,10,-
Paraparaumu Aero,Sep-04,9,170.3,-
Paraparaumu Aero,Oct-04,0,105.1,-
Paraparaumu Aero,Oct-04,2,12.4,-
Paraparaumu Aero,Oct-04,9,125.4,-
Paraparaumu Aero,Nov-04,0,82.2,-
Paraparaumu Aero,Nov-04,2,14.4,-
Paraparaumu Aero,Nov-04,9,206.2,-
Paraparaumu Aero,Dec-04,0,106.5,-
Paraparaumu Aero,Dec-04,2,14.6,-
Paraparaumu Aero,Dec-04,9,224.1,-
Paraparaumu Aero,Jan-05,0,106.2,-
Paraparaumu Aero,Jan-05,2,16.9,-
Paraparaumu Aero,Jan-05,9,243.5,-
Paraparaumu Aero,Feb-05,0,27.1,-
Paraparaumu Aero,Feb-05,2,19.5,-
Paraparaumu Aero,Feb-05,9,233.8,-
Paraparaumu Aero,Mar-05,0,72,-
Paraparaumu Aero,Mar-05,2,17.1,-
Paraparaumu Aero,Mar-05,9,169,-
Paraparaumu Aero,Apr-05,0,25.7,-
Paraparaumu Aero,Apr-05,2,12.5,-
Paraparaumu Aero,Apr-05,9,175.6,-
Paraparaumu Aero,May-05,0,128.4,-
Paraparaumu Aero,May-05,2,12.8,-
Paraparaumu Aero,May-05,9,114.6,-
Paraparaumu Aero,Jun-05,0,49.3,-
Paraparaumu Aero,Jun-05,2,9.5,-
Paraparaumu Aero,Jun-05,9,97.7,-
Paraparaumu Aero,Jul-05,0,112.1,-
Paraparaumu Aero,Jul-05,2,10,-
Paraparaumu Aero,Jul-05,9,103.4,-
Paraparaumu Aero,Aug-05,0,23.1,-
Paraparaumu Aero,Aug-05,2,9.9,-
Paraparaumu Aero,Aug-05,9,188.1,-
Paraparaumu Aero,Sep-05,0,46.8,-
Paraparaumu Aero,Sep-05,2,11.4,-
Paraparaumu Aero,Sep-05,9,168.5,-
Paraparaumu Aero,Oct-05,0,74.2,-
Paraparaumu Aero,Oct-05,2,12,-
Paraparaumu Aero,Oct-05,9,223.2,-
Paraparaumu Aero,Nov-05,0,5.4,-
Paraparaumu Aero,Nov-05,2,14.2,-
Paraparaumu Aero,Nov-05,9,231.9,-
Paraparaumu Aero,Dec-05,0,82.3,-
Paraparaumu Aero,Dec-05,2,17.6,-
Paraparaumu Aero,Dec-05,9,211.4,-
Paraparaumu Aero,Jan-06,0,43,-
Paraparaumu Aero,Jan-06,2,17.4,-
Paraparaumu Aero,Jan-06,9,255.4,-
Paraparaumu Aero,Feb-06,0,99.4,-
Paraparaumu Aero,Feb-06,2,17.6,-
Paraparaumu Aero,Feb-06,9,224.2,-
Paraparaumu Aero,Mar-06,0,59.5,-
Paraparaumu Aero,Mar-06,2,14.5,-
Paraparaumu Aero,Mar-06,9,190.3,-
Paraparaumu Aero,Apr-06,0,88.9,-
Paraparaumu Aero,Apr-06,2,15.1,-
Paraparaumu Aero,Apr-06,9,160.8,-
Paraparaumu Aero,May-06,0,100.5,-
Paraparaumu Aero,May-06,2,11.3,-
Paraparaumu Aero,May-06,9,121.7,-
Paraparaumu Aero,Jun-06,0,101.9,-
Paraparaumu Aero,Jun-06,2,8,-
Paraparaumu Aero,Jun-06,9,152.1,-
Paraparaumu Aero,Jul-06,0,170.3,-
Paraparaumu Aero,Jul-06,2,9.4,-
Paraparaumu Aero,Jul-06,9,133.4,-
Paraparaumu Aero,Aug-06,0,158,-
Paraparaumu Aero,Aug-06,2,9.5,-
Paraparaumu Aero,Aug-06,9,170.9,-
Paraparaumu Aero,Sep-06,0,42.6,-
Paraparaumu Aero,Sep-06,2,12.2,-
Paraparaumu Aero,Sep-06,9,125.7,-
Paraparaumu Aero,Oct-06,0,105.4,-
Paraparaumu Aero,Oct-06,2,12.5,-
Paraparaumu Aero,Oct-06,9,155,-
Paraparaumu Aero,Nov-06,0,194.7,-
Paraparaumu Aero,Nov-06,2,14.3,-
Paraparaumu Aero,Nov-06,9,184.4,-
Paraparaumu Aero,Dec-06,0,49.8,-
Paraparaumu Aero,Dec-06,2,14,-
Paraparaumu Aero,Dec-06,9,194.6,-
Paraparaumu Aero,Jan-07,0,85.9,-
Paraparaumu Aero,Jan-07,2,17,-
Paraparaumu Aero,Jan-07,9,166.5,-
Paraparaumu Aero,Feb-07,0,14,-
Paraparaumu Aero,Feb-07,2,16.8,-
Paraparaumu Aero,Feb-07,9,250.5,-
Paraparaumu Aero,Mar-07,0,45.3,-
Paraparaumu Aero,Mar-07,2,17.1,-
Paraparaumu Aero,Mar-07,9,223.4,-
Paraparaumu Aero,Apr-07,0,30.6,-
Paraparaumu Aero,Apr-07,2,13.1,-
Paraparaumu Aero,Apr-07,9,182.9,-
Paraparaumu Aero,May-07,0,32.7,-
Paraparaumu Aero,May-07,2,13.4,-
Paraparaumu Aero,May-07,9,154.4,-
