Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1952,05,73.7,Y
IDCJAC0001,042027,1952,06,27.1,Y
IDCJAC0001,042027,1952,07,29.7,Y
IDCJAC0001,042027,1952,09,12.7,Y
IDCJAC0001,042027,1952,10,131.0,Y
IDCJAC0001,042027,1952,11,7.6,Y
IDCJAC0001,042027,1952,12,15.7,Y
IDCJAC0001,042027,1953,01,6.1,Y
IDCJAC0001,042027,1953,02,446.1,Y
IDCJAC0001,042027,1953,03,18.5,Y
IDCJAC0001,042027,1953,04,22.1,Y
IDCJAC0001,042027,1953,05,64.7,Y
IDCJAC0001,042027,1953,06,0.0,Y
IDCJAC0001,042027,1953,07,8.9,Y
IDCJAC0001,042027,1953,08,77.0,Y
IDCJAC0001,042027,1953,09,1.3,Y
IDCJAC0001,042027,1953,10,64.1,Y
IDCJAC0001,042027,1953,11,40.9,Y
IDCJAC0001,042027,1953,12,5.1,Y
IDCJAC0001,042027,1954,01,86.6,Y
IDCJAC0001,042027,1954,02,157.2,Y
IDCJAC0001,042027,1954,03,0.0,Y
IDCJAC0001,042027,1954,04,0.0,Y
IDCJAC0001,042027,1954,05,0.8,Y
IDCJAC0001,042027,1954,06,14.5,Y
IDCJAC0001,042027,1954,07,98.0,Y
IDCJAC0001,042027,1954,08,18.6,Y
IDCJAC0001,042027,1954,09,15.0,Y
IDCJAC0001,042027,1954,10,116.3,Y
IDCJAC0001,042027,1954,11,106.2,Y
IDCJAC0001,042027,1954,12,53.3,Y
IDCJAC0001,042027,1955,01,172.6,Y
IDCJAC0001,042027,1955,02,180.9,Y
IDCJAC0001,042027,1955,03,10.1,Y
IDCJAC0001,042027,1955,04,72.0,Y
IDCJAC0001,042027,1955,05,41.1,Y
IDCJAC0001,042027,1955,06,9.4,Y
IDCJAC0001,042027,1955,07,42.1,Y
IDCJAC0001,042027,1955,08,29.7,Y
IDCJAC0001,042027,1955,09,9.2,Y
IDCJAC0001,042027,1955,10,47.8,Y
IDCJAC0001,042027,1955,11,22.7,Y
IDCJAC0001,042027,1955,12,79.8,Y
IDCJAC0001,042027,1956,01,110.3,Y
IDCJAC0001,042027,1956,02,129.1,Y
IDCJAC0001,042027,1956,03,84.6,Y
IDCJAC0001,042027,1956,04,53.8,Y
IDCJAC0001,042027,1956,05,66.3,Y
IDCJAC0001,042027,1956,06,92.2,Y
IDCJAC0001,042027,1956,07,31.4,Y
IDCJAC0001,042027,1956,08,0.0,Y
IDCJAC0001,042027,1956,09,25.9,Y
IDCJAC0001,042027,1956,10,28.5,Y
IDCJAC0001,042027,1956,11,30.8,Y
IDCJAC0001,042027,1956,12,56.4,Y
IDCJAC0001,042027,1957,01,85.2,Y
IDCJAC0001,042027,1957,02,66.8,Y
IDCJAC0001,042027,1957,03,35.1,Y
IDCJAC0001,042027,1957,04,32.8,Y
IDCJAC0001,042027,1957,05,0.0,Y
IDCJAC0001,042027,1957,06,41.5,Y
IDCJAC0001,042027,1957,07,3.0,Y
IDCJAC0001,042027,1957,08,5.4,Y
IDCJAC0001,042027,1957,09,1.8,Y
IDCJAC0001,042027,1957,10,62.5,Y
IDCJAC0001,042027,1957,11,26.6,Y
IDCJAC0001,042027,1957,12,33.9,Y
IDCJAC0001,042027,1958,01,111.3,Y
IDCJAC0001,042027,1958,02,57.7,Y
IDCJAC0001,042027,1958,03,167.2,Y
IDCJAC0001,042027,1958,04,51.5,Y
IDCJAC0001,042027,1958,05,10.8,Y
IDCJAC0001,042027,1958,06,171.8,Y
IDCJAC0001,042027,1958,07,3.3,Y
IDCJAC0001,042027,1958,08,37.8,Y
IDCJAC0001,042027,1958,09,47.7,Y
IDCJAC0001,042027,1958,10,26.5,Y
IDCJAC0001,042027,1958,11,69.8,Y
IDCJAC0001,042027,1958,12,51.5,Y
IDCJAC0001,042027,1959,01,210.5,Y
IDCJAC0001,042027,1959,02,119.2,Y
IDCJAC0001,042027,1959,03,42.9,Y
IDCJAC0001,042027,1959,04,2.8,Y
IDCJAC0001,042027,1959,05,30.2,Y
IDCJAC0001,042027,1959,06,8.1,Y
