"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1996","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Electricity","ktoe","45"
"Fuel Consumption (ktoe)","1996","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sum of all fuel products","ktoe","284"
"Fuel Consumption (ktoe)","1996","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sum of all petroleum products","ktoe","247"
"Fuel Consumption (ktoe)","1997","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Gasoil/diesel/DERV","ktoe","247"
"Fuel Consumption (ktoe)","1997","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1997","Agricultural","Solar","ktoe","0"
