"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2014M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264"
"Feed Stuff Price","2014M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","267"
"Feed Stuff Price","2014M11","Dairy meal (16-18% protein)","Euro per Tonne","256"
"Feed Stuff Price","2014M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M11","Broiler starter (22-24% protein)","Euro per Tonne","499"
"Feed Stuff Price","2014M11","Broiler finisher (19-21% protein)","Euro per Tonne","465"
"Feed Stuff Price","2014M11","Milk replacer","Euro per Tonne","2253"
"Feed Stuff Price","2014M11","Wheat","Euro per Tonne","181"
"Feed Stuff Price","2014M11","Ewe feed coarse (16-20% protein)","Euro per Tonne","269"
"Feed Stuff Price","2014M11","Ewe pellets/nuts (16-20%)","Euro per Tonne","274"
"Feed Stuff Price","2014M11","Lamb feed (16-20% protein)","Euro per Tonne","286"
"Feed Stuff Price","2014M11","Cattle fattening meal (13-15% protein)","Euro per Tonne","251"
"Feed Stuff Price","2014M12","Rolled barley","Euro per Tonne","210"
"Feed Stuff Price","2014M12","Soya bean meal","Euro per Tonne","425"
"Feed Stuff Price","2014M12","Barley meal","Euro per Tonne","184"
"Feed Stuff Price","2014M12","Maize meal","Euro per Tonne","222"
"Feed Stuff Price","2014M12","Flaked maize","Euro per Tonne","279"
"Feed Stuff Price","2014M12","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Pig fattening meal (13-15% protein)","Euro per Tonne","294"
"Feed Stuff Price","2014M12","Sow breeder (14-16% protein)","Euro per Tonne","296"
"Feed Stuff Price","2014M12","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Calf nuts and cubes (16-18% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M12","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265"
"Feed Stuff Price","2014M12","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","269"
"Feed Stuff Price","2014M12","Dairy meal (16-18% protein)","Euro per Tonne","257"
"Feed Stuff Price","2014M12","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Layers' mash (14-16% protein)","Euro per Tonne","320"
"Feed Stuff Price","2014M12","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M12","Milk replacer","Euro per Tonne","2261"
"Feed Stuff Price","2014M12","Wheat","Euro per Tonne","190"
"Feed Stuff Price","2014M12","Ewe feed coarse (16-20% protein)","Euro per Tonne","266"
"Feed Stuff Price","2014M12","Ewe pellets/nuts (16-20%)","Euro per Tonne","273"
"Feed Stuff Price","2014M12","Lamb feed (16-20% protein)","Euro per Tonne","287"
"Feed Stuff Price","2014M12","Cattle fattening meal (13-15% protein)","Euro per Tonne","253"
"Feed Stuff Price","2015M01","Rolled barley","Euro per Tonne","211"
"Feed Stuff Price","2015M01","Soya bean meal","Euro per Tonne","431"
"Feed Stuff Price","2015M01","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2015M01","Maize meal","Euro per Tonne","223"
