"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1977M08","Heifers 250-299kg","Euro","95.54"
"Cattle Price per 100 Kg","1977M08","Heifers 300-349kg","Euro","92.6"
"Cattle Price per 100 Kg","1977M08","Heifers 350-399kg","Euro","89.34"
"Cattle Price per 100 Kg","1977M08","Heifers 400-449kg","Euro","90.09"
"Cattle Price per 100 Kg","1977M08","Cows for slaughter","Euro","72.25"
"Cattle Price per 100 Kg","1977M09","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M09","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M09","Bullocks 300-349kg","Euro","79.63"
"Cattle Price per 100 Kg","1977M09","Bullocks 350-399kg","Euro","81.66"
"Cattle Price per 100 Kg","1977M09","Bullocks 400-449kg","Euro","88.35"
"Cattle Price per 100 Kg","1977M09","Bullocks 450-499kg","Euro","94.91"
"Cattle Price per 100 Kg","1977M09","Bullocks 500-549kg","Euro","98.13"
"Cattle Price per 100 Kg","1977M09","Bullocks 550kg+","Euro","100.17"
"Cattle Price per 100 Kg","1977M09","Heifers 200-249kg","Euro","92.02"
"Cattle Price per 100 Kg","1977M09","Heifers 250-299kg","Euro","91.98"
"Cattle Price per 100 Kg","1977M09","Heifers 300-349kg","Euro","89.03"
"Cattle Price per 100 Kg","1977M09","Heifers 350-399kg","Euro","89.58"
"Cattle Price per 100 Kg","1977M09","Heifers 400-449kg","Euro","90.08"
"Cattle Price per 100 Kg","1977M09","Cows for slaughter","Euro","67.49"
"Cattle Price per 100 Kg","1977M10","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M10","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M10","Bullocks 300-349kg","Euro","83.09"
"Cattle Price per 100 Kg","1977M10","Bullocks 350-399kg","Euro","89.25"
"Cattle Price per 100 Kg","1977M10","Bullocks 400-449kg","Euro","95.54"
"Cattle Price per 100 Kg","1977M10","Bullocks 450-499kg","Euro","100.21"
"Cattle Price per 100 Kg","1977M10","Bullocks 500-549kg","Euro","103.14"
"Cattle Price per 100 Kg","1977M10","Bullocks 550kg+","Euro","102.68"
"Cattle Price per 100 Kg","1977M10","Heifers 200-249kg","Euro","90.76"
"Cattle Price per 100 Kg","1977M10","Heifers 250-299kg","Euro","85.87"
"Cattle Price per 100 Kg","1977M10","Heifers 300-349kg","Euro","87.64"
"Cattle Price per 100 Kg","1977M10","Heifers 350-399kg","Euro","89.31"
"Cattle Price per 100 Kg","1977M10","Heifers 400-449kg","Euro","87.88"
"Cattle Price per 100 Kg","1977M10","Cows for slaughter","Euro","69.34"
"Cattle Price per 100 Kg","1977M11","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M11","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M11","Bullocks 300-349kg","Euro","90.47"
"Cattle Price per 100 Kg","1977M11","Bullocks 350-399kg","Euro","96.39"
"Cattle Price per 100 Kg","1977M11","Bullocks 400-449kg","Euro","101.45"
"Cattle Price per 100 Kg","1977M11","Bullocks 450-499kg","Euro","105.46"
"Cattle Price per 100 Kg","1977M11","Bullocks 500-549kg","Euro","105.52"
"Cattle Price per 100 Kg","1977M11","Bullocks 550kg+","Euro","101.57"
"Cattle Price per 100 Kg","1977M11","Heifers 200-249kg","Euro","85.33"
"Cattle Price per 100 Kg","1977M11","Heifers 250-299kg","Euro","84.96"
"Cattle Price per 100 Kg","1977M11","Heifers 300-349kg","Euro","88.73"
"Cattle Price per 100 Kg","1977M11","Heifers 350-399kg","Euro","88.28"
"Cattle Price per 100 Kg","1977M11","Heifers 400-449kg","Euro","90.49"
"Cattle Price per 100 Kg","1977M11","Cows for slaughter","Euro","66.59"
"Cattle Price per 100 Kg","1977M12","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M12","Bullocks 250-299kg","Euro","90.09"
"Cattle Price per 100 Kg","1977M12","Bullocks 300-349kg","Euro","96.03"
"Cattle Price per 100 Kg","1977M12","Bullocks 350-399kg","Euro","103.22"
"Cattle Price per 100 Kg","1977M12","Bullocks 400-449kg","Euro","108.68"
"Cattle Price per 100 Kg","1977M12","Bullocks 450-499kg","Euro","106.85"
"Cattle Price per 100 Kg","1977M12","Bullocks 500-549kg","Euro","102.96"
"Cattle Price per 100 Kg","1977M12","Bullocks 550kg+","Euro","99.97"
"Cattle Price per 100 Kg","1977M12","Heifers 200-249kg","Euro","83.56"
"Cattle Price per 100 Kg","1977M12","Heifers 250-299kg","Euro","85.4"
"Cattle Price per 100 Kg","1977M12","Heifers 300-349kg","Euro","87.87"
"Cattle Price per 100 Kg","1977M12","Heifers 350-399kg","Euro","90.77"
"Cattle Price per 100 Kg","1977M12","Heifers 400-449kg","Euro","90.25"
"Cattle Price per 100 Kg","1977M12","Cows for slaughter","Euro","72.58"
"Cattle Price per 100 Kg","1978M01","Bullocks 200-249kg","Euro","93.54"
"Cattle Price per 100 Kg","1978M01","Bullocks 250-299kg","Euro","96.93"
"Cattle Price per 100 Kg","1978M01","Bullocks 300-349kg","Euro","102.7"
"Cattle Price per 100 Kg","1978M01","Bullocks 350-399kg","Euro","110.92"
"Cattle Price per 100 Kg","1978M01","Bullocks 400-449kg","Euro","108.84"
"Cattle Price per 100 Kg","1978M01","Bullocks 450-499kg","Euro","103.7"
"Cattle Price per 100 Kg","1978M01","Bullocks 500-549kg","Euro","100.49"
"Cattle Price per 100 Kg","1978M01","Bullocks 550kg+","Euro","100.17"
"Cattle Price per 100 Kg","1978M01","Heifers 200-249kg","Euro","84.79"
"Cattle Price per 100 Kg","1978M01","Heifers 250-299kg","Euro","86.61"
"Cattle Price per 100 Kg","1978M01","Heifers 300-349kg","Euro","91.27"
"Cattle Price per 100 Kg","1978M01","Heifers 350-399kg","Euro","90.08"
