"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1985M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1985M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1986M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1987M09","All items","Base Dec 2016=100",""
