"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Compound feeding stuffs for poultry","Base 2015=100","116.14"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Other compound feeding stuffs","Base 2015=100","107.2"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Maintenance of materials and buildings","Base 2015=100","95.13"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Other goods and services","Base 2015=100","100.38"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Agricultural output price index","Base 2015=100","110.02"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Crop output","Base 2015=100","99.42"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Fruit and Vegetables","Base 2015=100","99.87"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Potatoes including seeds","Base 2015=100","70.41"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Animal output","Base 2015=100","111.41"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Animals","Base 2015=100","98.4"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Cattle","Base 2015=100","92.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Cattle excluding calves","Base 2015=100","92.97"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Calves","Base 2015=100","79.51"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Pigs","Base 2015=100","115.54"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Sheep","Base 2015=100","112.92"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Poultry","Base 2015=100","100.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Animal products","Base 2015=100","131.02"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Milk","Base 2015=100","132.05"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Eggs","Base 2015=100","103.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Wool","Base 2015=100","81.66"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Agricultural input price index","Base 2015=100","104.53"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Seeds","Base 2015=100","102.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Energy","Base 2015=100","113.65"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Electricity","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Motor fuel","Base 2015=100","118.71"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Lubricants","Base 2015=100","99.64"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Fertilisers","Base 2015=100","100.57"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Straight fertilisers","Base 2015=100","101.49"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound fertilisers","Base 2015=100","100.42"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","PK fertilisers","Base 2015=100","102.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","NPK fertilisers","Base 2015=100","100.36"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Other fertilisers","Base 2015=100","94.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Plant protection products","Base 2015=100","100.06"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Feeding stuffs","Base 2015=100","109.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Straight feeding stuffs","Base 2015=100","111.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound feeding stuffs","Base 2015=100","109.49"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound feeding stuffs for calves","Base 2015=100","107.37"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound feeding stuffs for cattle excluding calves","Base 2015=100","108.52"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound feeding stuffs for pigs","Base 2015=100","109.41"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Compound feeding stuffs for poultry","Base 2015=100","113.32"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Other compound feeding stuffs","Base 2015=100","108.1"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Maintenance of materials and buildings","Base 2015=100","95.41"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M05","Other goods and services","Base 2015=100","100.26"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Agricultural output price index","Base 2015=100","108.92"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Crop output","Base 2015=100","99.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Fruit and Vegetables","Base 2015=100","100.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Potatoes including seeds","Base 2015=100","70.85"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Animal output","Base 2015=100","110.14"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Animals","Base 2015=100","96.68"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Cattle","Base 2015=100","89.54"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Cattle excluding calves","Base 2015=100","89.56"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Calves","Base 2015=100","87.27"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Pigs","Base 2015=100","119.36"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Sheep","Base 2015=100","113.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Poultry","Base 2015=100","100.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Animal products","Base 2015=100","130.45"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Milk","Base 2015=100","131.47"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Eggs","Base 2015=100","102.68"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Wool","Base 2015=100","81.66"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Agricultural input price index","Base 2015=100","104.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Seeds","Base 2015=100","102.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Energy","Base 2015=100","113.65"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Electricity","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Motor fuel","Base 2015=100","118.73"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Lubricants","Base 2015=100","99.14"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Fertilisers","Base 2015=100","99.96"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Straight fertilisers","Base 2015=100","100.64"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound fertilisers","Base 2015=100","99.92"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","PK fertilisers","Base 2015=100","101.25"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","NPK fertilisers","Base 2015=100","99.88"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Other fertilisers","Base 2015=100","94.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Plant protection products","Base 2015=100","100.06"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Feeding stuffs","Base 2015=100","109.2"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Straight feeding stuffs","Base 2015=100","110.99"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound feeding stuffs","Base 2015=100","109.11"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound feeding stuffs for calves","Base 2015=100","106.37"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound feeding stuffs for cattle excluding calves","Base 2015=100","107.94"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound feeding stuffs for pigs","Base 2015=100","109.51"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Compound feeding stuffs for poultry","Base 2015=100","113.12"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Other compound feeding stuffs","Base 2015=100","107.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Maintenance of materials and buildings","Base 2015=100","95.62"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M06","Other goods and services","Base 2015=100","100.18"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Agricultural output price index","Base 2015=100","105.6"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Crop output","Base 2015=100","99.12"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Fruit and Vegetables","Base 2015=100","100.11"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Potatoes including seeds","Base 2015=100","68.1"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Animal output","Base 2015=100","106.45"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Animals","Base 2015=100","95.08"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Cattle","Base 2015=100","89.09"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Cattle excluding calves","Base 2015=100","89.05"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Calves","Base 2015=100","96.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Pigs","Base 2015=100","119.77"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Sheep","Base 2015=100","97.17"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Poultry","Base 2015=100","100.71"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Animal products","Base 2015=100","123.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Milk","Base 2015=100","124.41"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Eggs","Base 2015=100","102.36"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Wool","Base 2015=100","81.66"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Agricultural input price index","Base 2015=100","104.84"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Seeds","Base 2015=100","102.76"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M07","Energy","Base 2015=100","114.91"
