Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wellington Aero,3445,E14387,-41.322,174.804,4,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Wellington Aero,Dec-2012,02,17.4,-,
Wellington Aero,Jan-2013,00,75.2,-,
Wellington Aero,Jan-2013,02,18.1,-,
Wellington Aero,Feb-2013,00,54.0,-,
Wellington Aero,Feb-2013,02,17.8,-,
Wellington Aero,Mar-2013,00,70.0,-,
Wellington Aero,Mar-2013,02,17.3,-,
Wellington Aero,Apr-2013,00,66.1,-,
Wellington Aero,Apr-2013,02,15.8,-,
Wellington Aero,May-2013,00,118.5,-,
Wellington Aero,May-2013,02,12.8,-,
Wellington Aero,Jun-2013,00,173.6,-,
Wellington Aero,Jun-2013,02,10.7,-,
Wellington Aero,Jul-2013,00,114.0,-,
Wellington Aero,Jul-2013,02,10.9,-,
Wellington Aero,Aug-2013,00,65.8,-,
Wellington Aero,Aug-2013,02,11.7,-,
Wellington Aero,Sep-2013,00,108.4,-,
Wellington Aero,Sep-2013,02,11.9,-,
Wellington Aero,Oct-2013,00,120.3,-,
Wellington Aero,Oct-2013,02,13.5,-,
Wellington Aero,Nov-2013,00,77.3,-,
Wellington Aero,Nov-2013,02,15.2,-,
Wellington Aero,Dec-2013,00,31.0,-,
Wellington Aero,Dec-2013,02,17.6,-,
Wellington Aero,Jan-2014,00,99.8,-,
Wellington Aero,Jan-2014,02,17.0,-,
Wellington Aero,Feb-2014,00,22.2,-,
Wellington Aero,Feb-2014,02,17.3,-,
Wellington Aero,Mar-2014,00,43.2,-,
Wellington Aero,Mar-2014,02,16.0,-,
Wellington Aero,Apr-2014,00,130.7,-,
Wellington Aero,Apr-2014,02,15.2,-,
Wellington Aero,May-2014,00,49.6,-,
Wellington Aero,May-2014,02,13.0,-,
Wellington Aero,Jun-2014,00,67.6,-,
Wellington Aero,Jun-2014,02,11.7,-,
Wellington Aero,Jul-2014,00,70.0,-,
Wellington Aero,Jul-2014,02,9.8,-,
Wellington Aero,Aug-2014,00,56.9,-,
Wellington Aero,Aug-2014,02,9.5,-,
Wellington Aero,Sep-2014,00,81.8,-,
Wellington Aero,Sep-2014,02,11.7,-,
Wellington Aero,Oct-2014,00,45.2,-,
Wellington Aero,Oct-2014,02,12.8,-,
Wellington Aero,Nov-2014,00,32.8,-,
Wellington Aero,Nov-2014,02,14.5,-,
Wellington Aero,Dec-2014,00,73.0,-,
Wellington Aero,Dec-2014,02,16.2,-,
Wellington Aero,Jan-2015,00,2.2,-,
Wellington Aero,Jan-2015,02,18.8,-,
Wellington Aero,Feb-2015,00,22.2,-,
Wellington Aero,Feb-2015,02,17.4,-,
Wellington Aero,Mar-2015,00,62.8,-,
Wellington Aero,Mar-2015,02,17.3,-,
Wellington Aero,Apr-2015,00,128.6,-,
Wellington Aero,Apr-2015,02,14.9,-,
Wellington Aero,May-2015,00,110.4,-,
Wellington Aero,May-2015,02,12.9,-,
Wellington Aero,Jun-2015,00,97.4,-,
Wellington Aero,Jun-2015,02,10.6,-,
Wellington Aero,Jul-2015,00,91.8,-,
Wellington Aero,Jul-2015,02,9.5,-,
Wellington Aero,Aug-2015,00,60.2,-,
Wellington Aero,Aug-2015,02,10.2,-,
Wellington Aero,Sep-2015,00,58.4,-,
Wellington Aero,Sep-2015,02,10.6,-,
Wellington Aero,Oct-2015,00,17.6,-,
Wellington Aero,Oct-2015,02,13.3,-,
Wellington Aero,Nov-2015,00,37.0,-,
Wellington Aero,Nov-2015,02,13.9,-,
Wellington Aero,Dec-2015,00,14.6,-,
Wellington Aero,Dec-2015,02,15.8,-,
Wellington Aero,Jan-2016,00,68.4,-,
Wellington Aero,Jan-2016,02,18.1,-,
Wellington Aero,Feb-2016,00,25.4,-,
Wellington Aero,Feb-2016,02,20.2,-,
Wellington Aero,Mar-2016,00,15.0,-,
Wellington Aero,Mar-2016,02,17.8,-,
Wellington Aero,Apr-2016,00,32.8,-,
Wellington Aero,Apr-2016,02,15.4,-,
Wellington Aero,May-2016,00,161.4,-,
Wellington Aero,May-2016,02,14.6,-,
