Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,3925,F21182,-42.116,171.860,198,G,Niwa / West Coast Rural Fire Dis
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig,
Reefton Ews,Mar-2011,02,15.2,-,-,D,
Reefton Ews,Mar-2011,09,216.9,-,-,D,
Reefton Ews,Apr-2011,00,186.2,-,-,D,
Reefton Ews,Apr-2011,02,12.0,-,-,D,
Reefton Ews,Apr-2011,09,138.3,-,-,D,
Reefton Ews,May-2011,00,360.0,-,-,D,
Reefton Ews,May-2011,02,11.7,-,-,D,
Reefton Ews,May-2011,09,55.6,-,-,D,
Reefton Ews,Jun-2011,00,103.2,-,-,D,
Reefton Ews,Jun-2011,02,8.6,-,-,D,
Reefton Ews,Jun-2011,09,67.2,-,-,D,
Reefton Ews,Jul-2011,00,240.4,-,-,D,
Reefton Ews,Jul-2011,02,5.3,-,-,D,
Reefton Ews,Jul-2011,09,66.5,-,-,D,
Reefton Ews,Aug-2011,00,85.0,-,-,D,
Reefton Ews,Aug-2011,02,6.7,-,-,D,
Reefton Ews,Aug-2011,09,118.2,-,-,D,
Reefton Ews,Sep-2011,00,114.8,-,-,D,
Reefton Ews,Sep-2011,02,8.8,-,-,D,
Reefton Ews,Sep-2011,09,126.8,-,-,D,
Reefton Ews,Oct-2011,00,159.4,-,-,D,
Reefton Ews,Oct-2011,02,12.3,-,-,D,
Reefton Ews,Oct-2011,09,148.2,-,-,D,
Reefton Ews,Nov-2011,00,207.2,-,-,D,
