"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1981M04","Rosslare","Number","13.3"
"Most Sunshine Hours in a Day","1981M05","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1981M06","Rosslare","Number","13.9"
"Most Sunshine Hours in a Day","1981M07","Rosslare","Number","14.2"
"Most Sunshine Hours in a Day","1981M08","Rosslare","Number","13.5"
"Most Sunshine Hours in a Day","1981M09","Rosslare","Number","10.3"
"Most Sunshine Hours in a Day","1981M10","Rosslare","Number","8.8"
"Most Sunshine Hours in a Day","1981M11","Rosslare","Number","6.5"
"Most Sunshine Hours in a Day","1981M12","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1982M01","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1982M02","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1982M03","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1982M04","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1982M05","Rosslare","Number","14.3"
"Most Sunshine Hours in a Day","1982M06","Rosslare","Number","14.7"
"Most Sunshine Hours in a Day","1982M07","Rosslare","Number","14.3"
"Most Sunshine Hours in a Day","1982M08","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1982M09","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1982M10","Rosslare","Number","9"
"Most Sunshine Hours in a Day","1982M11","Rosslare","Number","7.4"
"Most Sunshine Hours in a Day","1982M12","Rosslare","Number","5.8"
"Most Sunshine Hours in a Day","1983M01","Rosslare","Number","6.4"
"Most Sunshine Hours in a Day","1983M02","Rosslare","Number","7.8"
"Most Sunshine Hours in a Day","1983M03","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1983M04","Rosslare","Number","11.9"
"Most Sunshine Hours in a Day","1983M05","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1983M06","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1983M07","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1983M08","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1983M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1983M10","Rosslare","Number","8.1"
